idp,shuttle_location,shuttle_type,engine_type,engine_vendor,engines,passenger_capacity,cancellation_policy,crew,d_check_complete,moon_clearance_complete,price,company_id,shuttle_id,review_scores_rating,review_scores_comfort,review_scores_amenities,review_scores_trip,review_scores_crew,review_scores_location,review_scores_price,number_of_reviews,reviews_per_month,id,company_rating,company_location,total_fleet_count,iata_approved
18448,Rwanda,Type V5,Plasma,ThetaBase Services,3.0,6,strict,3.0,true,false,3275.0,34925,18448,94.0,10.0,9.0,10.0,10.0,9.0,10.0,30,2.41,34925,1.0,Maldives,1.0,false
38983,Barbados,Type V5,Plasma,ThetaBase Services,3.0,6,strict,3.0,false,false,3457.0,16597,38983,88.0,10.0,9.0,9.0,10.0,9.0,9.0,13,1.12,16597,1.0,Ghana,1.0,false
17771,Kiribati,Type F5,Quantum,ThetaBase Services,4.0,13,strict,9.0,false,false,1455.0,31751,17771,91.0,9.0,9.0,10.0,10.0,9.0,9.0,29,2.13,31751,1.0,Nicaragua,29.0,false
17771,Kiribati,Type F5,Quantum,ThetaBase Services,4.0,13,strict,9.0,false,false,1455.0,31751,17771,91.0,9.0,9.0,10.0,10.0,9.0,9.0,29,2.13,31751,1.0,Nicaragua,29.0,false
17771,Kiribati,Type F5,Quantum,ThetaBase Services,4.0,13,strict,9.0,false,false,1455.0,31751,17771,91.0,9.0,9.0,10.0,10.0,9.0,9.0,29,2.13,31751,1.0,Nicaragua,29.0,false
17771,Kiribati,Type F5,Quantum,ThetaBase Services,4.0,13,strict,9.0,false,false,1455.0,31751,17771,91.0,9.0,9.0,10.0,10.0,9.0,9.0,29,2.13,31751,1.0,Nicaragua,29.0,false
17771,Kiribati,Type F5,Quantum,ThetaBase Services,4.0,13,strict,9.0,false,false,1455.0,31751,17771,91.0,9.0,9.0,10.0,10.0,9.0,9.0,29,2.13,31751,1.0,Nicaragua,29.0,false
17771,Kiribati,Type F5,Quantum,ThetaBase Services,4.0,13,strict,9.0,false,false,1455.0,31751,17771,91.0,9.0,9.0,10.0,10.0,9.0,9.0,29,2.13,31751,1.0,Nicaragua,29.0,false
17771,Kiribati,Type F5,Quantum,ThetaBase Services,4.0,13,strict,9.0,false,false,1455.0,31751,17771,91.0,9.0,9.0,10.0,10.0,9.0,9.0,29,2.13,31751,1.0,Nicaragua,29.0,false
17771,Kiribati,Type F5,Quantum,ThetaBase Services,4.0,13,strict,9.0,false,false,1455.0,31751,17771,91.0,9.0,9.0,10.0,10.0,9.0,9.0,29,2.13,31751,1.0,Nicaragua,29.0,false
17771,Kiribati,Type F5,Quantum,ThetaBase Services,4.0,13,strict,9.0,false,false,1455.0,31751,17771,91.0,9.0,9.0,10.0,10.0,9.0,9.0,29,2.13,31751,1.0,Nicaragua,29.0,false
17771,Kiribati,Type F5,Quantum,ThetaBase Services,4.0,13,strict,9.0,false,false,1455.0,31751,17771,91.0,9.0,9.0,10.0,10.0,9.0,9.0,29,2.13,31751,1.0,Nicaragua,29.0,false
17771,Kiribati,Type F5,Quantum,ThetaBase Services,4.0,13,strict,9.0,false,false,1455.0,31751,17771,91.0,9.0,9.0,10.0,10.0,9.0,9.0,29,2.13,31751,1.0,Nicaragua,29.0,false
17771,Kiribati,Type F5,Quantum,ThetaBase Services,4.0,13,strict,9.0,false,false,1455.0,31751,17771,91.0,9.0,9.0,10.0,10.0,9.0,9.0,29,2.13,31751,1.0,Nicaragua,29.0,false
17771,Kiribati,Type F5,Quantum,ThetaBase Services,4.0,13,strict,9.0,false,false,1455.0,31751,17771,91.0,9.0,9.0,10.0,10.0,9.0,9.0,29,2.13,31751,1.0,Nicaragua,29.0,false
17771,Kiribati,Type F5,Quantum,ThetaBase Services,4.0,13,strict,9.0,false,false,1455.0,31751,17771,91.0,9.0,9.0,10.0,10.0,9.0,9.0,29,2.13,31751,1.0,Nicaragua,29.0,false
17771,Kiribati,Type F5,Quantum,ThetaBase Services,4.0,13,strict,9.0,false,false,1455.0,31751,17771,91.0,9.0,9.0,10.0,10.0,9.0,9.0,29,2.13,31751,1.0,Nicaragua,29.0,false
